"Album Title","Artist","File Name"
"Jettison", "And So I Watch You From Afar",
"Blue Rev", "Alvvays",alvvays.jpeg
"Ants From Up There", "Black Country, New Road,"bcnr.jpeg
"Diaspora Problems", "Soul Glo",soulglo.jpeg
"Little Green House", "Anxious",anxious.jpg 
"Big Time", "Angel Olsen",angel.jpeg
"Two Ribbons", "Let's Eat Grandma",letseatgrandma.jpg
"Once Twice Melody", "Beach House",beach.jpeg
"PAINLESS", "Nilüfer Yanya",nilufer.jpeg
"Expert in a Dying Field", "The Beths",beths.jpeg
"Pool Kids", "Pool Kids",pool.jpeg
"God's Country", "Chat Pile",chatpile.jpeg
"Laurel Hell", "Mitski",mitski.jpg
"Sometimes, Forever", "Soccer Mommy",soccer.jpeg
"Fossora", "Björk",bjork.jpg
"Present Tense", "Yumi Zouma",yumi.jpg 
"Household Name", "Momma",momma.jpg
"Knifeplay", "Knifeplay",knifeplay.jpeg
"Famously Alive", "Guerilla Toss",guerilla.jpg
"God Save the Animals", "Alex G",alex.jpeg
"Heavy Pendulum", "Cave In",cavein.jpg
"Arrangements", "Preoccupations",preoccupations.jpg
"Wet Leg", "Wet Leg",wetleg.jpg
"SOS", "SZA",sza.jpg
"sore thumb", "oso oso",oso.jpg
