"Song Title","Artist","File Name"
Basketball Shoes,"Black Country, New Road",basketball.png
Levitation,Let's Eat Grandma,levitation.jpg
A Symphony of Sparrows,Their / They're / There,symphony.png
Sunset,Beach House,sunse.jpg
Growing Up Song,Anxious,anxious.jpg
VIII Jettison,And So I Watch You From Afar,jettison.jpg
Gold Chain Punk (whogonbeatmyass?),Soul Glo,whogon.jpg
Solid,MUNA,solid.jpg
Bad Habit,Steve Lacy,badhabit.jpg
Belinda Says,Alvvays,belinda.jpeg
Nobody,Knifeplay,nobody.jpg
Runner,Alex G,runner.png
In The Eyes Of Our Love,Yumi Zouma,eyes.jpg
Detective Lieutenant,Drug Church,detective.jpg
Coochie (A Bedtime Story),Shygirl,coochie.jpg
Hysteric,White Lung,hysteric.png
Expert in a Dying Field,The Beths,expert.jpg
You When You're Gone,Anxious,anxious.jpg
Satin Cash Pt. II,Wavedash,satin.jpg
This Is A Photograph,Kevin Morby,photo.jpg
World Wide Pop,Superorganism,worldwide.png
Always Together With You,Spiritualized,everything.jpg
Fallout,Yo La Tengo,fallout.jpeg
Crash,Charli XCX,crash.jpg
Gotta Let It Go,Joyce Manor,gottalititgo.jpg
Ruby,Hovvdy,ruby.jpg
the dealer,Nilüfer Yanya,dealer.jpg
Seeds,A.G. Cook,seeds.jpg
Off Goes The Light,Bibio,offgoesthelight.jpg
Jennifer Hindsight,Peel Dream Magazine,jennifer.jpg
Call My Bluff,Pusha T,callmybluff.jpg
Working for the Knife,Mitski,working.jpg
Blending,High Vis,blending.jpg
new body rhumba (from the film White Noise),LCD Soundsystem,rhumba.jpg
Tetramorph,Rachika Nayar,heavencomecrashing.jpg
graves,Purity Ring,graves.jpg
Mermaid Airplane,Guerilla Toss,famously.jpg
Holding Back,BANKS,holdingback.jpg
Fix Bayonets!,Preoccupations,fix.jpg
Slaughterhouse,Chat Pile,slaughterhouse.jpg
Gone Girl,SZA,gone.jpg
Simulation Swarm,Big Thief,simulation.jpg
Famously Alive,Guerilla Toss,famously.jpg
Flower (In Full Bloom),Luna Li,flower.jpg
Be Cool,Maggie Rogers,becool.jpg
July!,JELEEL!,july.jpg
Talk,beabadoobee,talk.jpg
2am,Foals,2am.jpg
Rip Off,Momma,ripoff.jpg
Pink Venom,BLACKPINK,pinkvenom.jpg
